Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
tyrB	tyrBp	4267082	RNA polymerase sigma factor RpoD	tyrB	4267114	4268307	+	tyrB // OP00123
rimK-ybjN	rimKp	891876	RNA polymerase sigma factor RpoD	ybjN // rimK	892957 // 891967	893433 // 892869	+	rimK-ybjN
thrW	thrWp	262841	RNA polymerase sigma factor RpoD	thrW	262871	262946	+	thrW
fumA	fumAp	1688440	RNA polymerase sigma factor RpoD	fumA	1686731	1688377	-	fumA // OP00145
rcnAB	rcnAp	2185827	RNA polymerase sigma factor RpoD	rcnB // rcnA	2186960 // 2185917	2187298 // 2186741	+	rcnAB
dinI	dinIp	1121509	RNA polymerase sigma factor RpoD	dinI	1121242	1121487	-	dinI
btuB-murI	btuBp	4163399	RNA polymerase sigma factor RpoD	murI // btuB	4165428 // 4163639	4166285 // 4165483	+	btuB-murI
topA	topAp5	1330789	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	topA	1331048	1333645	+	topA
leuX	leuXp	4496386	RNA polymerase sigma factor RpoD	leuX	4496405	4496489	+	leuX
cpdB	cpdBp	4436629	RNA polymerase sigma factor RpoD	cpdB	4434622	4436565	-	cpdB // OP00162
srkA-dsbA	srkAp	4042391	RNA polymerase sigma factor RpoD	dsbA // srkA	4043418 // 4042415	4044044 // 4043401	+	srkA-dsbA // yihE-dsbA // rdoA-dsbA
rnd	rndp	1888061	RNA polymerase sigma factor RpoD	rnd	1886864	1887991	-	rnd
pdhR-aceEF-lpdA	pdhRp	122034	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	pdhR // aceE // aceF // lpd	122092 // 123017 // 125695 // 127912	122856 // 125680 // 127587 // 129336	+	pdhR-aceEF-lpdA
flhDC	flhDp	1978395	RNA polymerase sigma factor RpoD	flhC // flhD	1977266 // 1977847	1977844 // 1978197	-	flhDC // OP00183
ompR-envZ	ompRp4	3536755	RNA polymerase sigma factor RpoD	envZ // ompR	3534516 // 3535865	3535868 // 3536584	-	ompR-envZ
proS	proSp	218837	RNA polymerase sigma factor RpoD	proS	217057	218775	-	proS
sixA	sixAp	2456999	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoE	sixA	2456327	2456812	-	sixA
xapAB	xapAp	2524910	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	xapB // xapA	2522729 // 2524045	2523985 // 2524878	-	xapAB
gatYZABCD	gatYp	2177234	RNA polymerase sigma factor RpoD	gatD // gatC // gatB // gatA // gatZ // gatY	2171833 // 2172921 // 2174282 // 2174597 // 2175059 // 2176350	2172873 // 2174278 // 2174566 // 2175049 // 2176321 // 2177204	-	gatYZABCD // OP00231
yciE	yciEp	1315396	RNA polymerase sigma factor RpoD	yciE	1314718	1315224	-	yciE
cutA	cutAp	4365392	RNA polymerase sigma factor RpoD	cutA	4365018	4365356	-	cutA
lysA	lysAp	2978951	RNA polymerase sigma factor RpoD	lysA	2977637	2978899	-	lysA // OP00257
uvrYC	uvrYp2	1995406	RNA polymerase sigma factor RpoD	uvrC // uvrY	1992874 // 1994703	1994706 // 1995359	-	uvrYC
kdsC-lptCAB	kdsCp3	3341719	RNA polymerase sigma factor RpoD	lptB // lptA // lptC // kdsC	3343944 // 3343380 // 3342836 // 3342273	3344669 // 3343937 // 3343411 // 3342839	+	kdsC-lptCAB
phnCDEEFGHIJKLMNOP	phnCp	4325206	RNA polymerase sigma factor RpoD	phnP // phnO // phnN // phnM // phnL // phnK // phnJ // phnI // phnH // phnG // phnF // phnE // phnD // phnC	4314344 // 4315104 // 4315525 // 4316082 // 4317215 // 4318006 // 4318761 // 4319599 // 4320663 // 4321244 // 4321697 // 4322443 // 4323336 // 4324377	4315102 // 4315538 // 4316082 // 4317218 // 4317895 // 4318764 // 4319606 // 4320663 // 4321247 // 4321696 // 4322422 // 4323281 // 4324352 // 4325165	-	phnCDEEFGHIJKLMNOP // OP00283 // phnCDE-w4011-phnFGHIJKLMNOP // phnCDE-w4011-phnFGHIJKLMNOPQ // phnCDE-b4103-phnFGHIJKLMNOP
ychO	ychOp	1273760	RNA polymerase sigma factor RpoD	ychO	1273784	1275178	+	ychO
relA-mazEF	relAp1	2913829	RNA polymerase sigma factor RpoD	mazF // mazE // relA	2910756 // 2911091 // 2911417	2911091 // 2911339 // 2913651	-	relA-mazEF // relA-chpRA // chpA
metF	metFp	4132546	RNA polymerase sigma factor RpoD	metF	4132616	4133506	+	metF // OP00308
waaA	waaAp2	3808256	RNA polymerase sigma factor RpoD	waaA	3808540	3809817	+	waaA // kdtA
yafNOP	yafNp	251969	RNA polymerase sigma factor RpoD	yafP // yafO // yafN	252709 // 252301 // 252005	253161 // 252699 // 252298	+	yafNOP
rnb	rnbp1	1349129	RNA polymerase sigma factor RpoD	rnb	1346978	1348912	-	rnb
yifL-dapF-yigA-xerC-yigB	yifLp	3994492	RNA polymerase sigma factor RpoD	yigB // xerC // yigA // dapF // lptM	3997183 // 3996287 // 3995583 // 3994762 // 3994522	3997899 // 3997183 // 3996290 // 3995586 // 3994725	+	yifL-dapF-yigA-xerC-yigB
acrEF	acrEp	3413702	RNA polymerase sigma factor RpoD	acrE // acrF	3413864 // 3415033	3415021 // 3418137	+	acrEF
hicAB	hicAp1	1509221	RNA polymerase sigma factor RpoD	hicB // hicA	1509508 // 1509286	1509924 // 1509462	+	hicAB
tufA	tufAp1	3471724	RNA polymerase sigma factor RpoD	tufA	3470145	3471329	-	tufA
chpSB	chpSp1	4448402	RNA polymerase sigma factor RpoD	chpS // chpB	4448447 // 4448692	4448698 // 4449042	+	chpSB
lsrRK	lsrRp	1601257	RNA polymerase sigma factor RpoD	lsrK // lsrR	1598617 // 1600288	1600209 // 1601241	-	lsrRK
rybA-mntS	rybAp	853064	RNA polymerase sigma factor RpoD	rybA // mntS	852725 // 852869	853064 // 852997	-	rybA-mntS
nrdR-ribDE-nusB-thiL-pgpA	nrdRp	432977	RNA polymerase sigma factor RpoD	pgpA // thiL // nusB // ribE // ribD // nrdR	436589 // 435634 // 435137 // 434647 // 433455 // 433002	437107 // 436611 // 435556 // 435117 // 434558 // 433451	+	nrdR-ribDE-nusB-thiL-pgpA
moeAB	moeAp	866394	RNA polymerase sigma factor RpoD	moeB // moeA	864380 // 865129	865129 // 866364	-	moeAB
yebC-ruvC	yebCp	1948185	RNA polymerase sigma factor RpoD	ruvC // yebC	1946855 // 1947411	1947376 // 1948151	-	yebC-ruvC
leuL	leuLp1	83735	RNA polymerase sigma factor RpoD	leuL	83622	83708	-	leuL
pntAB	pntAp	1677975	RNA polymerase sigma factor RpoD	pntB // pntA	1674972 // 1676371	1676360 // 1677903	-	pntAB
add	addp6	1702202	RNA polymerase sigma factor RpoD	add	1702233	1703234	+	add
ssnA	ssnAp	3018950	RNA polymerase sigma factor RpoD	ssnA	3019161	3020489	+	ssnA
galE	galEp2	792086	RNA polymerase sigma factor RpoD	galE	791039	792055	-	galE
osmB	osmBp2	1343369	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	osmB	1343110	1343328	-	osmB
aroH	aroHp1	1788318	RNA polymerase sigma factor RpoD	aroH	1788435	1789481	+	aroH // OP00012
zntA	zntAp	3606422	RNA polymerase sigma factor RpoD	zntA	3606451	3608649	+	zntA
iraD	iraDp1	4556576	RNA polymerase sigma factor RpoD	idlP // ytiD // ytiC // iraD	4556913 // 4556654 // 4556574 // 4556993	4556996 // 4556797 // 4556675 // 4557385	+	iraD
yqhD-dkgA	yqhDp	3155302	RNA polymerase sigma factor RpoD	dkgA // yqhD	3156623 // 3155355	3157450 // 3156518	+	yqhD-dkgA
galETKM	galEp2	792086	RNA polymerase sigma factor RpoD	galM // galK // galT // galE	787797 // 788831 // 789983 // 791039	788837 // 789979 // 791029 // 792055	-	galETKM // OP00032 // galETK
rpoH	rpoHp1	3601003	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	rpoH	3599929	3600783	-	rpoH
metH	metHp1	4223783	RNA polymerase sigma factor RpoD	metH	4223828	4227511	+	metH // OP00055
eno	enop7	2908152	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	eno	2906643	2907941	-	eno
epd-pgk	epdp	3073823	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	pgk // epd	3071459 // 3072672	3072622 // 3073691	-	epd-pgk
hiuH-msrPQ	hiuHp	2038840	RNA polymerase sigma factor RpoD	msrQ // msrP // hiuH	2040483 // 2039478 // 2038956	2041118 // 2040482 // 2039369	+	hiuH-msrPQ
purMN	purMp	2621153	RNA polymerase sigma factor RpoD	purM // purN	2621197 // 2622234	2622234 // 2622872	+	purMN // OP00080 // purM
yjbEFGH	yjbEp1	4235858	RNA polymerase sigma factor RpoD	yjbH // yjbG // yjbF // yjbE	4237634 // 4236897 // 4236262 // 4235906	4239730 // 4237634 // 4236900 // 4236148	+	yjbEFGH
fecIR	fecIp	4518282	RNA polymerase sigma factor RpoD	fecR // fecI	4516764 // 4517714	4517717 // 4518235	-	fecIR
ahpCF	ahpCp1	638921	RNA polymerase sigma factor RpoD	ahpC // ahpF	638945 // 639753	639508 // 641318	+	ahpCF // OP00101 // ahpC
recC	recCp	2962507	RNA polymerase sigma factor RpoD	recC	2959060	2962428	-	recC
dcuD	dcuDp1	3374766	RNA polymerase sigma factor RpoD	dcuD	3374869	3376236	+	dcuD
ilvC	ilvCp	3957912	RNA polymerase sigma factor RpoD	ilvC	3957970	3959445	+	ilvC // OP00127
efeU	efeUp	1081307	RNA polymerase sigma factor RpoD	efeU	1081356	1082185	+	efeU
rne	rnep1	1144728	RNA polymerase sigma factor RpoD	rne	1141182	1144367	-	rne
serA	serAp2	3058549	RNA polymerase sigma factor RpoD	serA	3057178	3058410	-	serA
valVW	valVp	1746415	RNA polymerase sigma factor RpoD	valV // valW	1746435 // 1746516	1746511 // 1746592	+	valVW // valV
icd	icdAp1	1195008	RNA polymerase sigma factor RpoD	icd	1195123	1196373	+	icd // OP00148
serT	serTp	1031719	RNA polymerase sigma factor RpoD	serT	1031625	1031712	-	serT
malK-lamB-malM	malKp	4246736	RNA polymerase sigma factor RpoD	malK // lamB // malM	4246784 // 4247971 // 4249554	4247899 // 4249311 // 4250474	+	malK-lamB-malM // OP00165
pgi	pgip	4233722	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	pgi	4233758	4235407	+	pgi
trxC	trxCp	2718675	RNA polymerase sigma factor RpoD	trxC	2718735	2719154	+	trxC
hns	hnsp	1292958	RNA polymerase sigma factor RpoD	hns	1292509	1292922	-	hns // OP00190
rrsH-ileV-alaV-rrlH-rrfH	rrsHp2	223593	RNA polymerase sigma factor RpoD	rrfH // rrlH // alaV // ileV // rrsH	228756 // 225759 // 225500 // 225381 // 223771	228875 // 228662 // 225575 // 225457 // 225312	+	rrsH-ileV-alaV-rrlH-rrfH // rrsH
rrsB-gltT-rrlB-rrfB	rrsBp2	4166484	RNA polymerase sigma factor RpoD	rrfB // rrlB // gltT // rrsB	4171637 // 4168641 // 4168372 // 4166659	4171756 // 4171544 // 4168447 // 4168200	+	rrsB-gltT-rrlB-rrfB // rrnB
gspAB	gspAp2	3455510	RNA polymerase sigma factor RpoD	gspB // gspA	3453508 // 3453929	3453927 // 3455398	-	gspAB
fimE	fimEp	4541871	RNA polymerase sigma factor RpoD	fimE	4542037	4542633	+	fimE
narXL	narXp	1277777	RNA polymerase sigma factor RpoD	narL // narX	1275179 // 1275822	1275829 // 1277618	-	narXL // OP00213 // narL
kdsA	kdsAp	1267854	RNA polymerase sigma factor RpoD	kdsA	1268165	1269019	+	kdsA
leuO	leuOp	84188	RNA polymerase sigma factor RpoD	leuO	84368	85312	+	leuO
shoB	shoBp	2700291	RNA polymerase sigma factor RpoD	shoB	2700117	2700197	-	shoB // ryfB
napFDAGHBC-ccmABCDEFGH	napFp2	2303577	RNA polymerase sigma factor RpoD	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	2291358 // 2292407 // 2292961 // 2294901 // 2295377 // 2295583 // 2296362 // 2297021 // 2297657 // 2298269 // 2298715 // 2299565 // 2300267 // 2302750 // 2303003	2292410 // 2292964 // 2294904 // 2295380 // 2295586 // 2296320 // 2297024 // 2297644 // 2298259 // 2298718 // 2299578 // 2300260 // 2302753 // 2303013 // 2303497	-	napFDAGHBC-ccmABCDEFGH
fpr	fprp	4114499	RNA polymerase sigma factor RpoD	fpr	4113726	4114472	-	fpr // OP00261
cstA	cstAp3	629873	RNA polymerase sigma factor RpoD	cstA	629894	631999	+	cstA // cst-2
mnt-btuF-yadS	mtnp	179183	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	mtn // btuF // yadS	178455 // 177662 // 177001	179153 // 178462 // 177624	-	mnt-btuF-yadS
arrS	arrSp	3658054	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	arrS	3657985	3658054	-	arrS
garPLRK-rnpB	garPp	3274934	RNA polymerase sigma factor RpoD	rnpB // garK // garR // garL // garP	3270216 // 3270625 // 3271867 // 3272787 // 3273573	3270592 // 3271770 // 3272751 // 3273557 // 3274907	-	garPLRK-rnpB // yhaUFED-rnpB
speAB	speAp	3086048	RNA polymerase sigma factor RpoD	speB // speA	3082877 // 3083935	3083797 // 3085911	-	speAB // OP00287
tsr	tsrp1	4591412	RNA polymerase sigma factor RpoD	tsr	4591657	4593312	+	tsr
ilvLXG_1G_2MEDA	ilvLp1	3950218	RNA polymerase sigma factor RpoD	ilvX // ilvG // ilvA // ilvD // ilvE // ilvM // ilvL	3950507 // 3950560 // 3955331 // 3953478 // 3952484 // 3952201 // 3950322	3950557 // 3952204 // 3956875 // 3955328 // 3953413 // 3952464 // 3950420	+	ilvLXG_1G_2MEDA // ilvLGGMEDA // ilvLGMEDA // ilvGMEDA // ilvLG_1G_2MEDA
lysU	lysUp1	4354805	RNA polymerase sigma factor RpoD	lysU	4353200	4354717	-	lysU // OP00312
frsA	frsAp	256502	RNA polymerase sigma factor RpoD	frsA	256527	257771	+	frsA
msrB	msrBp6	1862464	RNA polymerase sigma factor RpoD	msrB	1862016	1862429	-	msrB
creABCD	creAp	4635477	RNA polymerase sigma factor RpoD	creA // creB // creC // creD	4635521 // 4636007 // 4636696 // 4638178	4635994 // 4636696 // 4638120 // 4639530	+	creABCD // orf1-orf2-phoM-orf4 // phoM
yfdX	yfdXp	2494433	RNA polymerase sigma factor RpoD	yfdE // yfdV // oxc // frc // yfdX	2488023 // 2489242 // 2490256 // 2492004 // 2493767	2489168 // 2490186 // 2491950 // 2493254 // 2494402	-	yfdX
pdeL	pdeLp1	332039	RNA polymerase sigma factor RpoD	pdeL	332371	333459	+	pdeL // yahA
mlc	mlcp1	1668603	RNA polymerase sigma factor RpoD	mlc	1667344	1668564	-	mlc
feoABC	feoAp	3540057	RNA polymerase sigma factor RpoD	feoC // feoA // feoB	3542728 // 3540163 // 3540407	3542964 // 3540390 // 3542728	+	feoABC
mglAC	mglAp	2239391	RNA polymerase sigma factor RpoD	mglC // mglA	2236743 // 2237769	2237753 // 2239289	-	mglAC
hfq-hflXKC	hfqp3	4400220	RNA polymerase sigma factor RpoD	hflC // hflK // hflX // hfq	4403300 // 4402038 // 4400672 // 4400288	4404304 // 4403297 // 4401952 // 4400596	+	hfq-hflXKC
phoH	phoHp1	1084865	RNA polymerase sigma factor RpoD	phoH	1084992	1086056	+	phoH
napFDAGHBC-ccmABCDEFGH	napFp1	2303574	RNA polymerase sigma factor RpoD	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	2291358 // 2292407 // 2292961 // 2294901 // 2295377 // 2295583 // 2296362 // 2297021 // 2297657 // 2298269 // 2298715 // 2299565 // 2300267 // 2302750 // 2303003	2292410 // 2292964 // 2294904 // 2295380 // 2295586 // 2296320 // 2297024 // 2297644 // 2298259 // 2298718 // 2299578 // 2300260 // 2302753 // 2303013 // 2303497	-	napFDAGHBC-ccmABCDEFGH // aeg-46.5
nemRA-gloA	nemRp	1726021	RNA polymerase sigma factor RpoD	gloA // nemA // nemR	1727837 // 1726659 // 1726023	1728244 // 1727756 // 1726622	+	nemRA-gloA
degS	degSp	3382173	RNA polymerase sigma factor RpoD	degS	3382200	3383267	+	degS
yacC-speED	yacCp	136940	RNA polymerase sigma factor RpoD	yacC // speD // speE	136570 // 134788 // 135598	136917 // 135582 // 136464	-	yacC-speED
galETK	galEp1	792081	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	galK // galT // galE	788831 // 789983 // 791039	789979 // 791029 // 792055	-	galETK
dsdA	dsdAp	2479121	RNA polymerase sigma factor RpoD	dsdA	2479202	2480530	+	dsdA
sohB	sohBp2	1329301	RNA polymerase sigma factor RpoD	sohB	1329332	1330381	+	sohB
tppB	tppBp	1712671	RNA polymerase sigma factor RpoD	dtpA	1712769	1714271	+	tppB // ydgR
gadE-mdtEF	gadEp4	3658062	RNA polymerase sigma factor RpoD	gadF // mdtF // mdtE // gadE	3658992 // 3660414 // 3659232 // 3658366	3659082 // 3663527 // 3660389 // 3658893	+	gadE-mdtEF
bioA	bioAp	809292	RNA polymerase sigma factor RpoD	bioA	807968	809257	-	bioA // OP00015
idnK	idnKp	4494597	RNA polymerase sigma factor RpoD	idnK	4494623	4495186	+	idnK
yobF-cspC	yobFp1	1907793	RNA polymerase sigma factor RpoD	cspC // yobF	1907226 // 1907448	1907435 // 1907591	-	yobF-cspC
mngR	mngRp	765926	RNA polymerase sigma factor RpoD	mngR	765153	765875	-	mngR
glnAZLG	glnAp2	4058107	RNA polymerase sigma factor RpoN	glnZ // glnG // glnL // glnA	4056428 // 4053869 // 4055290 // 4056625	4056621 // 4055278 // 4056339 // 4058034	-	glnAZLG // OP00034 // glnA
yhjC	yhjCp	3672136	RNA polymerase sigma factor RpoN	rcdB	3672414	3673313	+	yhjC
yeaGH	yeaGp1	1866815	RNA polymerase sigma factor RpoN	yeaH // yeaG	1868955 // 1866908	1870238 // 1868842	+	yeaGH
pspABCDE	pspAp	1368038	RNA polymerase sigma factor RpoN	pspA // pspB // pspC // pspD // pspE	1368079 // 1368801 // 1369025 // 1369393 // 1369689	1368747 // 1369025 // 1369384 // 1369614 // 1370003	+	pspABCDE // pspABCE
yahE	yahEp	335739	RNA polymerase sigma factor RpoN	yahE	335925	336788	+	yahE
rtcBA	rtcBp	3558107	RNA polymerase sigma factor RpoN	rtcA // rtcB	3555833 // 3556853	3556849 // 3558079	-	rtcBA
htpG	htpGp3	494817	RNA polymerase sigma factor RpoN	htpG	495120	496994	+	htpG
pspG	pspGp	4262816	RNA polymerase sigma factor RpoN	pspH // pspG	4263139 // 4262840	4263249 // 4263082	+	pspG // yjbO
yaaU	yaaUp	45592	RNA polymerase sigma factor RpoN	yaaU	45807	47138	+	yaaU
nac	nacp	2061978	RNA polymerase sigma factor RpoN	nac	2061016	2061933	-	nac
rhaD	rhaDp	4094385	RNA polymerase sigma factor RpoN	rhaD	4093448	4094272	-	rhaD
acrD	acrDp2	2587550	RNA polymerase sigma factor RpoN	acrD	2587595	2590708	+	acrD
fdhF	fdhFp	4299407	RNA polymerase sigma factor RpoN	fdhF	4297219	4299366	-	fdhF // OP00207
zraSR	zraSp	4201905	RNA polymerase sigma factor RpoN	zraR // zraS	4203320 // 4201926	4204645 // 4203323	+	zraSR // hydHG
ibpB	ibpBp	3866981	RNA polymerase sigma factor RpoN	ibpB	3866469	3866897	-	ibpB
patA	patAp	3219458	RNA polymerase sigma factor RpoN	patA	3219494	3220873	+	patA
potFGHI	potFp1	893736	RNA polymerase sigma factor RpoN	potF // potG // potH // potI	893784 // 894991 // 896134 // 897084	894896 // 896124 // 897087 // 897929	+	potFGHI
rpoH	rpoHp6	3600813	RNA polymerase sigma factor RpoN	rpoH	3599929	3600783	-	rpoH
prpBCDE	prpBp	348646	RNA polymerase sigma factor RpoN	prpE // prpD // prpC // prpB	352706 // 351215 // 350012 // 348682	354592 // 352666 // 351181 // 349572	+	prpBCDE
hyfABCDEFGHIJR-focB	hyfAp	2601171	RNA polymerase sigma factor RpoN	focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA	2613934 // 2611900 // 2611457 // 2610706 // 2610164 // 2608487 // 2606917 // 2606262 // 2604811 // 2603847 // 2601818 // 2601201	2614782 // 2613912 // 2611870 // 2611464 // 2610709 // 2610154 // 2608497 // 2606912 // 2606250 // 2604794 // 2603836 // 2601818	+	hyfABCDEFGHIJR-focB
aslB	aslBp	3982781	RNA polymerase sigma factor RpoN	aslB	3982958	3984193	+	aslB
ddpXABCDF	ddpXp1	1563107	RNA polymerase sigma factor RpoN	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	1557112 // 1558031 // 1559014 // 1559907 // 1560931 // 1562495	1558038 // 1559017 // 1559910 // 1560929 // 1562481 // 1563076	-	ddpXABCDF
rutABCDEFG	rutAp	1074026	RNA polymerase sigma factor RpoN	rutA // rutB // rutC // rutD // rutE // rutF // rutG	1072863 // 1072171 // 1071773 // 1070965 // 1070365 // 1069860 // 1068511	1074011 // 1072863 // 1072159 // 1071765 // 1070955 // 1070354 // 1069839	-	rutABCDEFG
nikABCDER	nikAp2	3613439	RNA polymerase sigma factor RpoN	nikE // nikR // nikD // nikC // nikB // nikA	3617776 // 3618588 // 3617015 // 3616182 // 3615241 // 3613667	3618582 // 3618989 // 3617779 // 3617015 // 3616185 // 3615241	+	nikABCDER
astCADBE	astCp2	1832044	RNA polymerase sigma factor RpoN	astE // astB // astD // astA // astC	1825955 // 1826916 // 1828256 // 1829731 // 1830762	1826923 // 1828259 // 1829734 // 1830765 // 1831982	-	astCADBE
actP	actPp	4284935	RNA polymerase sigma factor RpoN	actP	4283253	4284902	-	actP
xdhABC	xdhAp2	3000265	RNA polymerase sigma factor RpoN	xdhC // xdhB // xdhA	3003489 // 3002614 // 3000345	3003968 // 3003492 // 3002603	+	xdhABC
zraP	zraPp	4201712	RNA polymerase sigma factor RpoN	zraP	4201263	4201688	-	zraP
hypABCDE	hypAp	2850627	RNA polymerase sigma factor RpoN	hypA // hypB // hypC // hypD // hypE	2850647 // 2851001 // 2851864 // 2852136 // 2853254	2850997 // 2851873 // 2852136 // 2853257 // 2854264	+	hypABCDE // OP00209 // hydBEF
rtcR	rtcRp		RNA polymerase sigma factor RpoN	rtcR	3558268	3559866	+	rtcR
argT-hisJQMP	argTp	2427849	RNA polymerase sigma factor RpoN	hisP // hisM // hisQ // hisJ // argT	2423736 // 2424517 // 2425230 // 2426006 // 2427009	2424509 // 2425233 // 2425916 // 2426788 // 2427791	-	argT-hisJQMP
emrD	emrDp	3853845	RNA polymerase sigma factor RpoN	emrD	3853922	3855106	+	emrD
glnK-amtB	glnKp	472556	RNA polymerase sigma factor RpoN	amtB // glnK	472966 // 472598	474252 // 472936	+	glnK-amtB
radD	radDp	2280622	RNA polymerase sigma factor RpoN	radD	2280632	2282392	+	radD
yhdWXYZ	yhdWp	3418972	RNA polymerase sigma factor RpoN	yhdZ // yhdY // yhdX // yhdW	3422436 // 3421325 // 3420134 // 3419042	3423194 // 3422428 // 3421315 // 3420066	+	yhdWXYZ
			RNA polymerase sigma factor RpoN					
atoDAEB	atoDp	2323412	RNA polymerase sigma factor RpoN	atoB // atoD // atoA // atoE	2326109 // 2323447 // 2324109 // 2324756	2327293 // 2324109 // 2324759 // 2326078	+	atoDAEB // OP00154 // atoDAB
ygfK-ssnA	ygfKp	3015992	RNA polymerase sigma factor RpoN	ssnA // ygfK	3019161 // 3016060	3020489 // 3019158	+	ygfK-ssnA
flhDC	flhDp2	1978577	RNA polymerase sigma factor RpoN	flhC // flhD	1977266 // 1977847	1977844 // 1978197	-	flhDC
hydN-hypF	hydNp	2838132	RNA polymerase sigma factor RpoN	hypF // hydN	2835173 // 2837578	2837425 // 2838105	-	hydN-hypF // hydA
puuP	puuPp	1359373	RNA polymerase sigma factor RpoN	ymjE // puuP	1359177 // 1357802	1359341 // 1359187	-	puuP // ycjJ
hycABCDEFGHI	hycAp	2850461	RNA polymerase sigma factor RpoN	hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA	2842573 // 2843036 // 2843443 // 2844210 // 2844762 // 2846489 // 2847415 // 2849238 // 2849974	2843043 // 2843446 // 2844210 // 2844752 // 2846471 // 2847412 // 2849241 // 2849849 // 2850435	-	hycABCDEFGHI // OP00208
glmY	glmYp1	2691340	RNA polymerase sigma factor RpoN	glmY	2691157	2691340	-	glmY // sroF
norVW	norVp	2832439	RNA polymerase sigma factor RpoN	norW // norV	2833912 // 2832476	2835045 // 2833915	+	norVW
glnAZ	glnAp2	4058107	RNA polymerase sigma factor RpoN	glnZ // glnA	4056428 // 4056625	4056621 // 4058034	-	glnAZ
glnHPQ	glnHp2	848047	RNA polymerase sigma factor RpoN	glnQ // glnP // glnH	845741 // 846460 // 847258	846463 // 847119 // 848004	-	glnHPQ // OP00234
chaC	chaCp	1272422	RNA polymerase sigma factor RpoN	chaC	1272507	1273202	+	chaC
dcuD	dcuDp2	3374583	RNA polymerase sigma factor RpoN	dcuD	3374869	3376236	+	dcuD
